X	Sample_names	Tree_name	Sample_id	Height	Diameter	Time
C21-NV1-B_S62_MERGED.fastq.gz	C21-NV1-B_S62	C21-nv-1	62	Low	30	0
C21-NV1-H_S63_MERGED.fastq.gz	C21-NV1-H_S63	C21-nv-1	63	High	30	0
C21-NV1-M_S64_MERGED.fastq.gz	C21-NV1-M_S64	C21-nv-1	64	Middle	30	0
C9-005_S65_MERGED.fastq.gz	C9-005_S65	C9-005	65	NA	39	5
CA12-024_S66_MERGED.fastq.gz	CA12-024_S66	CA12-024	66	NA	18,3	NA
CA9-027_S67_MERGED.fastq.gz	CA9-027_S67	CA9-027	67	NA	23,4	0
CA9-X_S68_MERGED.fastq.gz	CA9-X_S68	CA9-X	68	NA	-	15
CB8-019-B_S69_MERGED.fastq.gz	CB8-019-B_S69	CB8-019	69	Low	33,3	0
CB8-019-H_S70_MERGED.fastq.gz	CB8-019-H_S70	CB8-019	70	High	33,3	0
CB8-019-M_S71_MERGED.fastq.gz	CB8-019-M_S71	CB8-019	71	Middle	33,3	0
CB9-013_S72_MERGED.fastq.gz	CB9-013_S72	CB9-013	72	NA	32,3	5
CC3-044_S73_MERGED.fastq.gz	CC3-044_S73	CC3-044	73	NA	35,7	5
CC8-003_S74_MERGED.fastq.gz	CC8-003_S74	CC8-003	74	NA	36,5	0
D17-011_S77_MERGED.fastq.gz	D17-011_S77	D17-011	77	NA	59,8	5
D18-003-B_S78_MERGED.fastq.gz	D18-003-B_S78	D18-003	78	Low	45,5	5
D18-003-H_S79_MERGED.fastq.gz	D18-003-H_S79	D18-003	79	High	45,5	5
D18-003-M_S80_MERGED.fastq.gz	D18-003-M_S80	D18-003	80	Middle	45,5	5
D22-NVABM1_S81_MERGED.fastq.gz	D22-NVABM1_S81	D22-nvabm-1	81	NA	30	5
D61-010-B_S82_MERGED.fastq.gz	D61-010-B_S82	DG1-010	82	Low	36,3	15
D9-027-B_S83_MERGED.fastq.gz	D9-027-B_S83	D9-027	83	Low	18,9	NA
D9-027-H_S84_MERGED.fastq.gz	D9-027-H_S84	D9-027	84	High	18,9	NA
D9-027-M_S85_MERGED.fastq.gz	D9-027-M_S85	D9-027	85	Middle	18,9	NA
DBM-ABM-001_S86_MERGED.fastq.gz	DBM-ABM-001_S86	DB1abm001	86	NA	40	15
DJ2-008-B_S87_MERGED.fastq.gz	DJ2-008-B_S87	DJ2-008	87	Low	76,4	0
DJ2-008-H_S88_MERGED.fastq.gz	DJ2-008-H_S88	DJ2-008	88	High	76,4	0
DJ2-008-M_S89_MERGED.fastq.gz	DJ2-008-M_S89	DJ2-008	89	Middle	76,4	0
DP4-ABM001_S90_MERGED.fastq.gz	DP4-ABM001_S90	DP4abm001	90	NA	60	15
DS1-ABM002-B_S91_MERGED.fastq.gz	DS1-ABM002-B_S91	DS1abm002	91	Low	25	15
DS1-ABM002-H_S92_MERGED.fastq.gz	DS1-ABM002-H_S92	DS1abm002	92	High	25	15
DS1-ABM002-M_S93_MERGED.fastq.gz	DS1-ABM002-M_S93	DS1abm002	93	Middle	25	15
DU3-045-B_S94_MERGED.fastq.gz	DU3-045-B_S94	DU3-045	94	Low	38	15
DW4-007_S95_MERGED.fastq.gz	DW4-007_S95	DW4-007	95	NA	34	10
DY5-004-B_S96_MERGED.fastq.gz	DY5-004-B_S96	DY5-004	96	Low	60,4	0
DY5-004-H_S97_MERGED.fastq.gz	DY5-004-H_S97	DY5-004	97	High	60,4	0
DY5-004-M_S98_MERGED.fastq.gz	DY5-004-M_S98	DY5-004	98	Middle	60,4	0
DZ6-ABM-001_S99_MERGED.fastq.gz	DZ6-ABM-001_S99	DZ6abm001	99	NA	35	15
E9-009-B_S100_MERGED.fastq.gz	E9-009-B_S100	E9-009	100	Low	29,5	0
E9-009-H_S101_MERGED.fastq.gz	E9-009-H_S101	E9-009	101	High	29,5	0
E9-009-M_S102_MERGED.fastq.gz	E9-009-M_S102	E9-009	102	Middle	29,5	0
EA5-ABM-001_S103_MERGED.fastq.gz	EA5-ABM-001_S103	EAabm001	103	NA	25	15
EC2-013-B_S104_MERGED.fastq.gz	EC2-013-B_S104	EC2-013	104	Low	52	15
F6-ABM-001_S105_MERGED.fastq.gz	F6-ABM-001_S105	F6abm001	105	NA	30	15
F7-015-M_S106_MERGED.fastq.gz	F7-015-M_S106	F7-015	106	Middle	50	10
FOMES19-H_S108_MERGED.fastq.gz	FOMES19-H_S108	FOMES19	108	High	NA	NA
FOMES19-M_S109_MERGED.fastq.gz	FOMES19-M_S109	FOMES19	109	Middle	NA	NA
H10-018-M_S110_MERGED.fastq.gz	H10-018-M_S110	H10-018	110	Middle	88,5	15
H24-NVABM1-H_S111_MERGED.fastq.gz	H24-NVABM1-H_S111	H24-nvabm-1	111	High	30	5
J18-004-B_S114_MERGED.fastq.gz	J18-004-B_S114	J18-004	114	Low	27,6	0
J18-004-H_S115_MERGED.fastq.gz	J18-004-H_S115	J18-004	115	High	27,6	0
J18-004-M_S116_MERGED.fastq.gz	J18-004-M_S116	J18-004	116	Middle	27,6	0
K18-002-H_S117_MERGED.fastq.gz	K18-002-H_S117	K18-002	117	High	33,5	10
K26-NVABM1_S118_MERGED.fastq.gz	K26-NVABM1_S118	K26-nvamb-1	118	NA	30	5
L19X-B_S119_MERGED.fastq.gz	L19X-B_S119	L19-X	119	Low	30	NA
L19X-H_S120_MERGED.fastq.gz	L19X-H_S120	L19-X	120	High	30	NA
L19X-M_S121_MERGED.fastq.gz	L19X-M_S121	L19-X	121	Middle	30	NA
L23-002-B_S122_MERGED.fastq.gz	L23-002-B_S122	L23-002	122	Low	40,5	10
L23-002-H_S123_MERGED.fastq.gz	L23-002-H_S123	L23-002	123	High	40,5	10
L23-002-M_S124_MERGED.fastq.gz	L23-002-M_S124	L23-002	124	Middle	40,5	10
M22-001_S125_MERGED.fastq.gz	M22-001_S125	M22-001	125	NA	34	0
N19X-B_S126_MERGED.fastq.gz	N19X-B_S126	N19-X	126	Low	33,5	NA
N19X-H_S127_MERGED.fastq.gz	N19X-H_S127	N19-X	127	High	33,5	NA
N19X-M_S128_MERGED.fastq.gz	N19X-M_S128	N19-X	128	Middle	33,5	NA
N22-001-B_S129_MERGED.fastq.gz	N22-001-B_S129	M22-001	129	Low	34	0
N23-002-B_S130_MERGED.fastq.gz	N23-002-B_S130	N23-002	130	Low	21,5	15
N23-002-H_S131_MERGED.fastq.gz	N23-002-H_S131	N23-002	131	High	21,5	15
N23-002-M_S132_MERGED.fastq.gz	N23-002-M_S132	N23-002	132	Middle	21,5	15
N25-ABMX_S133_MERGED.fastq.gz	N25-ABMX_S133	N25-abm-X	133	NA	20	5
NVABM-0058_S134_MERGED.fastq.gz	NVABM-0058_S134	nvabm0058	134	NA	30	10
