"","Sample_names","Tree_name","Sample_id","Hauteur","Neg_Control","Numéro.photo","Category","Id_terrain","Id_echantillons","date_releve_diam","Diametre","Remarque","Time","Time_fac"
"BG7-010-H_S31_MERGED.fastq.gz","BG7-010-H_S31","BG7-010",31,"H",FALSE,"66","Stressés","BG7-010","BG7-010","16/08/2012","32","",0,"0"
"BG7-010-M_S32_MERGED.fastq.gz","BG7-010-M_S32","BG7-010",32,"M",FALSE,"66","Stressés","BG7-010","BG7-010","16/08/2012","32","",0,"0"
"BH9-021_S33_MERGED.fastq.gz","BH9-021_S33","BH9-021",33,NA,FALSE,"63","Stressés","BH9-021","BH9-021","16/08/2012","44,3","",0,"0"
"BJ17-007-M_S34_MERGED.fastq.gz","BJ17-007-M_S34","BJ17-007",34,"M",FALSE,"119","Chandelier T+5","BJ17-007","BJ17-007","08/07/2014","32","",5,"5"
"BJ8-ABM-003_S35_MERGED.fastq.gz","BJ8-ABM-003_S35","BJ8abm003",35,NA,FALSE,"61","Chablis T+15","BJ8abm003","BJ8abm003","22/03/2000","40","Souche au sol",15,"15"
"BL7-006-B_S36_MERGED.fastq.gz","BL7-006-B_S36","BL7-006",36,"B",FALSE,"60","Stressés","BL7-006","BL7-006","22/03/2000","35,6","",0,"0"
"BL7-006-H_S37_MERGED.fastq.gz","BL7-006-H_S37","BL7-006",37,"H",FALSE,"60","Stressés","BL7-006","BL7-006","22/03/2000","35,6","",0,"0"
"BL7-006-M_S38_MERGED.fastq.gz","BL7-006-M_S38","BL7-006",38,"M",FALSE,"60","Stressés","BL7-006","BL7-006","22/03/2000","35,6","",0,"0"
"BN11-041_S39_MERGED.fastq.gz","BN11-041_S39","BN11-041",39,NA,FALSE,"45","H. Bois moyen","BN11-041","BN11-041","22/08/2012","38,3","",NA,NA
"BN9-002_S40_MERGED.fastq.gz","BN9-002_S40","BN9-002",40,NA,FALSE,"59","Stressés","BN9-002","BN9-002","22/08/2012","32,5","",0,"0"
"BO8-002_S41_MERGED.fastq.gz","BO8-002_S41","BO8-002",41,NA,FALSE,"58","Chandelier T+10","BO8-002","BO8-002","04/11/2010","26,5","Souche au sol",10,"10"
"BO8-005_S42_MERGED.fastq.gz","BO8-005_S42","BO8-005",42,NA,FALSE,"57","Sains","BO8-005","BO8-005","22/03/2000","23","Souche",0,"0"
"BP11-001-B_S43_MERGED.fastq.gz","BP11-001-B_S43","BP11-001",43,"B",FALSE,"43","Chandelier T+15","BP11-001","BP11-001","25/07/2006","47,5","",15,"15"
"BP11-001-H_S44_MERGED.fastq.gz","BP11-001-H_S44","BP11-001",44,"H",FALSE,"43","Chandelier T+15","BP11-001","BP11-001","25/07/2006","47,5","",15,"15"
"BP11-001-M_S45_MERGED.fastq.gz","BP11-001-M_S45","BP11-001",45,"M",FALSE,"43","Chandelier T+15","BP11-001","BP11-001","25/07/2006","47,5","",15,"15"
"BP12-025-B_S46_MERGED.fastq.gz","BP12-025-B_S46","BP12-025",46,"B",FALSE,"44","Chandelier T+10","BP12-025","BP12-025","04/11/2010","64,5","",10,"10"
"BP14-006_S47_MERGED.fastq.gz","BP14-006_S47","BP14-006",47,NA,FALSE,"39","Chandelier T+10","BP14-006","BP14-006","09/10/2008","25,3","Carrie point m",10,"10"
"BQ3-019_S48_MERGED.fastq.gz","BQ3-019_S48","BQ3-019",48,NA,FALSE,NA,"Chandelier T+15",NA,NA,"07/01/2004","80","",15,"15"
"BQ4-018-B_S49_MERGED.fastq.gz","BQ4-018-B_S49","BQ4-018",49,"B",FALSE,NA,"Sains",NA,NA,"13/11/2014","34","",0,"0"
"BQ4-018-H_S50_MERGED.fastq.gz","BQ4-018-H_S50","BQ4-018",50,"H",FALSE,NA,"Sains",NA,NA,"13/11/2014","34","",0,"0"
"BQ4-018-M_S51_MERGED.fastq.gz","BQ4-018-M_S51","BQ4-018",51,"M",FALSE,NA,"Sains",NA,NA,"13/11/2014","34","",0,"0"
"BQ9ABM-002_S52_MERGED.fastq.gz","BQ9ABM-002_S52","BQ9abm002",52,NA,FALSE,"56","Chablis T+15","BQ9abm002","BQ9abm002","22/03/2000","40","",15,"15"
"BR8-005_S53_MERGED.fastq.gz","BR8-005_S53","BR8-005",53,NA,FALSE,"55","Stressés","BR8-005","BR8-005","28/04/2012","36,8","Ne pas pooler",0,"0"
"BS14-006_S54_MERGED.fastq.gz","BS14-006_S54","BS14-006",54,NA,FALSE,"40","Chandelier T+15","BS14-006","BS14-006","25/07/2006","35","",15,"15"
"BT-006-M_S55_MERGED.fastq.gz","BT-006-M_S55","BT7-006",55,"M",FALSE,"53","Stressés","BT7-006","BT7-006","28/08/2012","41","",0,"0"
"BT7-006_S56_MERGED.fastq.gz","BT7-006_S56","BT7-006",56,NA,FALSE,"53","Stressés","BT7-006","BT7-006","28/08/2012","41","",0,"0"
"BV11-002-B_S57_MERGED.fastq.gz","BV11-002-B_S57","BU11-002",57,"B",FALSE,"42","Chandelier T+5","BU11-002","BU11-002","13/11/2014","33","",5,"5"
"BV11-002-H_S58_MERGED.fastq.gz","BV11-002-H_S58","BU11-002",58,"H",FALSE,"42","Chandelier T+5","BU11-002","BU11-002","13/11/2014","33","",5,"5"
"BV11-002-M_S59_MERGED.fastq.gz","BV11-002-M_S59","BU11-002",59,"M",FALSE,"42","Chandelier T+5","BU11-002","BU11-002","13/11/2014","33","",5,"5"
"BW8-003_S60_MERGED.fastq.gz","BW8-003_S60","BW8-003",60,NA,FALSE,"52","Stressés","BW8-003","BW8-003","22/03/2000","38,2","Ne pas pooler",0,"0"
"C1-001_S61_MERGED.fastq.gz","C1-001_S61","C1-001",61,NA,FALSE,"77","Chandelier T+10","C1-001","C1-001","02/07/2009","43","Présence de Stereum sp.",10,"10"
"C21-NV1-B_S62_MERGED.fastq.gz","C21-NV1-B_S62","C21-nv-1",62,"B",FALSE,"120","Sains","C21-011","C21-nv-1","22/03/2000","30","",0,"0"
"C21-NV1-H_S63_MERGED.fastq.gz","C21-NV1-H_S63","C21-nv-1",63,"H",FALSE,"120","Sains","C21-011","C21-nv-1","22/03/2000","30","",0,"0"
"C21-NV1-M_S64_MERGED.fastq.gz","C21-NV1-M_S64","C21-nv-1",64,"M",FALSE,"120","Sains","C21-011","C21-nv-1","22/03/2000","30","",0,"0"
"C9-005_S65_MERGED.fastq.gz","C9-005_S65","C9-005",65,NA,FALSE,"71","Chandelier T+5","C9-005","C9-005","08/07/2013","39","",5,"5"
"CA12-024_S66_MERGED.fastq.gz","CA12-024_S66","CA12-024",66,NA,FALSE,"41","H. Petit bois","CA12-024","CA12-024","01/10/2012","18,3","",NA,NA
"CA9-027_S67_MERGED.fastq.gz","CA9-027_S67","CA9-027",67,NA,FALSE,"51","Sains","CA9-027","CA9-027","22/03/2000","23,4","Présence de Pollybia driophila",0,"0"
"CA9-X_S68_MERGED.fastq.gz","CA9-X_S68","CA9-X",68,NA,FALSE,"50","Chandelier T+15","CA9-010","CA9-X","01/04/2000","-","Souche",15,"15"
"CB8-019-B_S69_MERGED.fastq.gz","CB8-019-B_S69","CB8-019",69,"B",FALSE,"48","Stressés","CB8-019","CB8-019","22/03/2000","33,3","",0,"0"
"CB8-019-H_S70_MERGED.fastq.gz","CB8-019-H_S70","CB8-019",70,"H",FALSE,"48","Stressés","CB8-019","CB8-019","22/03/2000","33,3","",0,"0"
"CB8-019-M_S71_MERGED.fastq.gz","CB8-019-M_S71","CB8-019",71,"M",FALSE,"48","Stressés","CB8-019","CB8-019","22/03/2000","33,3","",0,"0"
"CB9-013_S72_MERGED.fastq.gz","CB9-013_S72","CB9-013",72,NA,FALSE,"47","Chandelier T+5","CB9-013","CB9-013","13/11/2014","32,3","Carries point h",5,"5"
"CC3-044_S73_MERGED.fastq.gz","CC3-044_S73","CC3-044",73,NA,FALSE,"116","Chandelier T+5","CC3-044","CC3-044","24/07/2013","35,7","",5,"5"
"CC8-003_S74_MERGED.fastq.gz","CC8-003_S74","CC8-003",74,NA,FALSE,"46","Stressés","CC8-003","CC8-003","01/10/2012","36,5","Creux point m",0,"0"
