"","Sample_names","Tree_name","Sample_id","Hauteur","Neg_Control","Numéro.photo","Category","Id_terrain","Id_echantillons","date_releve_diam","Diametre","Remarque","Time","Time_fac"
"O27-012_S151_MERGED.fastq.gz","O27-012_S151","O27-012",151,NA,FALSE,"26","Chandelier T+15","O27-012","O27-012","26/08/2005","69,5","",15,"15"
"O9-005-B_S152_MERGED.fastq.gz","O9-005-B_S152","C9-005",152,"B",FALSE,"71","Chandelier T+5","C9-005","C9-005","08/07/2013","39","",5,"5"
"P19-023-M_S153_MERGED.fastq.gz","P19-023-M_S153","P19-023",153,"M",FALSE,"89","H. Petit bois","P19-023","P19-023","04/05/2012","18,4","",NA,NA
"P27-015-M_S154_MERGED.fastq.gz","P27-015-M_S154","P27-015",154,"M",FALSE,"25","Chandelier T+5","P27-015","P27-015","13/11/2014","96","",5,"5"
"P27-ABM001_S155_MERGED.fastq.gz","P27-ABM001_S155","P27-abm001",155,NA,FALSE,"24","Chablis T+5","P27-abm001","P27-abm001","18/07/2014","25","",5,"5"
"Q27-ABM003-B_S156_MERGED.fastq.gz","Q27-ABM003-B_S156","Q27-abm003",156,"B",FALSE,"23","Chablis T+5","Q27-abm003","Q27-abm003","18/07/2014","10","Présence de Trametes sp.",5,"5"
"R25-ABMX_S157_MERGED.fastq.gz","R25-ABMX_S157","R25-abm-X",157,NA,FALSE,"126","Chablis T+5","nvabm0079","R25-abm-X","18/08/2014","-","",5,"5"
"R28-008-B_S158_MERGED.fastq.gz","R28-008-B_S158","R28-008",158,"B",FALSE,"*22","Sains","R28-008","R28-008","22/03/2000","37,2","",0,"0"
"R28-008-H_S159_MERGED.fastq.gz","R28-008-H_S159","R28-008",159,"H",FALSE,"*22","Sains","R28-008","R28-008","22/03/2000","37,2","",0,"0"
"R28-008-M_S160_MERGED.fastq.gz","R28-008-M_S160","R28-008",160,"M",FALSE,"*22","Sains","R28-008","R28-008","22/03/2000","37,2","",0,"0"
"T28-011_S161_MERGED.fastq.gz","T28-011_S161","T28-011",161,NA,FALSE,"20","Chandelier T+10","T28-011","T28-011","28/11/2011","66,8","",10,"10"
"T28-ABM602-B_S162_MERGED.fastq.gz","T28-ABM602-B_S162","T28-abm602",162,"B",FALSE,"21","Chablis T+5","T28-abm602","T28-abm602","14/05/2014","64"," Présence de Lentinula sp., Fomes fomentarius et Oligoporus sp.",5,"5"
"U27-ABM002_S163_MERGED.fastq.gz","U27-ABM002_S163","U27-abm002",163,NA,FALSE,"93","Chablis T+5","U27-abm002","U27-abm002","18/07/2014","11","",5,"5"
"W25-ABMX_S164_MERGED.fastq.gz","W25-ABMX_S164","W25-abm-X",164,NA,FALSE,"128","Chablis T+5","W25-abm001","W25-abm-X","18/08/2014","40","Présence de Stereum sp. et de Chlorociboria sp.",5,"5"
"W26-001-B_S165_MERGED.fastq.gz","W26-001-B_S165","W26-001",165,"B",FALSE,"31","Sains","W26-001","W26-001","02/11/2017","71,7","",0,"0"
"W26-001-H_S166_MERGED.fastq.gz","W26-001-H_S166","W26-001",166,"H",FALSE,"31","Sains","W26-001","W26-001","02/11/2017","71,7","",0,"0"
"W26-001-M_S167_MERGED.fastq.gz","W26-001-M_S167","W26-001",167,"M",FALSE,"31","Sains","W26-001","W26-001","02/11/2017","71,7","",0,"0"
"W30-006_S168_MERGED.fastq.gz","W30-006_S168","W30-006",168,NA,FALSE,"*17/6","Chandelier T+10","W30-006","W30-006","22/06/2011","59,6","Présence de Hericium clathroides et silure point b",10,"10"
"W9-025-M_S169_MERGED.fastq.gz","W9-025-M_S169","W29-025",169,"M",FALSE,"18","H. Gros bois sur pied","W29-025","W29-025","24/07/2013","71,5","Silure point b",NA,NA
"X24-009-B_S170_MERGED.fastq.gz","X24-009-B_S170","X24-009",170,"B",FALSE,"*22","Sains","X24-009","X24-009","24/04/2012","38,8","Tout mou, présence de Fomes fomentarius ",0,"0"
"X24-009-H_S171_MERGED.fastq.gz","X24-009-H_S171","X24-009",171,"H",FALSE,"*22","Sains","X24-009","X24-009","24/04/2012","38,8","Tout mou, présence de Fomes fomentarius ",0,"0"
"X24-009-M_S172_MERGED.fastq.gz","X24-009-M_S172","X24-009",172,"M",FALSE,"*22","Sains","X24-009","X24-009","24/04/2012","38,8","Tout mou, présence de Fomes fomentarius ",0,"0"
"X24-010_S173_MERGED.fastq.gz","X24-010_S173","X24-010",173,NA,FALSE,"33","Chandelier T+5","X24-010","X24-010","08/11/2013","37,8","",5,"5"
"X29-004-B_S174_MERGED.fastq.gz","X29-004-B_S174","X29-004",174,"B",FALSE,"*16/32","Chandelier T+10","X29-004","X29-004","08/11/2013","52,7","",10,"10"
"X29-004-H_S175_MERGED.fastq.gz","X29-004-H_S175","X29-004",175,"H",FALSE,"*16/32","Chandelier T+10","X29-004","X29-004","08/11/2013","52,7","",10,"10"
"X29-004-M_S176_MERGED.fastq.gz","X29-004-M_S176","X29-004",176,"M",FALSE,"*16/32","Chandelier T+10","X29-004","X29-004","08/11/2013","52,7","",10,"10"
"Y21-ABM484-H_S177_MERGED.fastq.gz","Y21-ABM484-H_S177","Y31-abm484",177,"H",FALSE,"5","Chablis T+5","Y31-abm484","Y31-abm484","14/05/2014","20","",5,"5"
"Y28-002-B_S178_MERGED.fastq.gz","Y28-002-B_S178","Y28-002",178,"B",FALSE,"15","H. Gros bois sur pied","Y28-002","Y28-002","24/04/2012","63,6","",NA,NA
"Y28-002-H_S179_MERGED.fastq.gz","Y28-002-H_S179","Y28-002",179,"H",FALSE,"15","H. Gros bois sur pied","Y28-002","Y28-002","24/04/2012","63,6","",NA,NA
"Y28-002-M_S180_MERGED.fastq.gz","Y28-002-M_S180","Y28-002",180,"M",FALSE,"15","H. Gros bois sur pied","Y28-002","Y28-002","24/04/2012","63,6","",NA,NA
"Y29-007-B_S181_MERGED.fastq.gz","Y29-007-B_S181","Y29-007",181,"B",FALSE,"14","Sains","Y29-007","Y29-007","02/11/2017","68,6","",0,"0"
"Y29-007-H_S182_MERGED.fastq.gz","Y29-007-H_S182","Y29-007",182,"H",FALSE,"14","Sains","Y29-007","Y29-007","02/11/2017","68,6","",0,"0"
"Y29-007-M_S183_MERGED.fastq.gz","Y29-007-M_S183","Y29-007",183,"M",FALSE,"14","Sains","Y29-007","Y29-007","02/11/2017","68,6","",0,"0"
"Y31-ABM484-B_S184_MERGED.fastq.gz","Y31-ABM484-B_S184","Y31-abm484",184,"B",FALSE,"5","Chablis T+5","Y31-abm484","Y31-abm484","14/05/2014","20","",5,"5"
"Z29-001-H_S185_MERGED.fastq.gz","Z29-001-H_S185","Z29-001",185,"H",FALSE,"13","Chandelier T+5","Z29-001","Z29-001","10/11/2015","35,2","",5,"5"
"Z30-002_S186_MERGED.fastq.gz","Z30-002_S186","Z30-002",186,NA,FALSE,"4","Chandelier T+15","Z30-002","Z30-002","22/03/2000","43,4","",15,"15"
"Z30-ABM560-M_S187_MERGED.fastq.gz","Z30-ABM560-M_S187","Z30-abm560",187,"M",FALSE,"3","Chablis T+5","Z30-abm560","Z30-abm560","14/05/2014","11","",5,"5"
